index,contract_no,division,product_name,customer,sales_rep,price
82,CNT-01073805,SouthWest,#57 Stone,"Pennington, Douglas and Jackson",Abi,26.9
83,CNT-70994420,Central,ABC Stone,Miller-Johnson,Arthur,31.97
84,CNT-15837877,Central,#4 Stone,"Schaefer, Anderson and Williamson",Shiva,37.91
85,CNT-37282462,West,Mason Sand,Wade PLC,Daniel,43.09
86,CNT-87970649,Central,Screenings,Reed Group,Niket,30.23
87,CNT-58683350,Central,Screenings,Mcbride-Steele,Shiva,33.17
88,CNT-43138159,NorthEast,Mason Sand,"Johnston, Kelly and Wright",Parker,42.96
89,CNT-91125191,NorthEast,#4 Stone,"Hawkins, Simmons and Chavez",Daniel,31.35
90,CNT-29096842,West,Railroad Ballast,Trevino Group,Connor,31.13
91,CNT-93427402,NorthEast,Railroad Ballast,Medina-Hall,Heath,34.99
92,CNT-19691780,NorthEast,Railroad Ballast,Martin-Whitehead,Rijo,37.14
93,CNT-59674150,SouthWest,Rip Rap,"Brown, Miller and Newton",Daniel,26.72
94,CNT-75293185,Central,Pea Gravel,Mckinney Inc,Connor,19.53
95,CNT-40166244,NorthEast,#67 Stone,"Moore, Long and Gonzalez",Madhu,40.99
96,CNT-99281741,West,Mason Sand,Santiago-Garcia,Rijo,39.64
97,CNT-79824433,SouthWest,#67 Stone,Gardner-Chan,Heath,22.43
98,CNT-50079341,West,Railroad Ballast,Church-Melendez,Abi,44.78
99,CNT-98744437,SouthWest,Screenings,Hays LLC,Steve,27.91
100,CNT-61079328,SouthWest,Screenings,Collins PLC,Abi,39.76
101,CNT-80778952,West,Concrete Sand,Wong-Brooks,Niket,33.58
102,CNT-80713230,NorthEast,#4 Stone,"Hancock, Barker and Reyes",Heath,17.83
103,CNT-72064049,Central,Pea Gravel,"House, Rodriguez and Porter",Vashon,44.75
104,CNT-25572270,East,#4 Stone,Hahn-Lewis,Shiva,34.24
105,CNT-29061603,West,#4 Stone,Martinez Ltd,Madhu,15.48
106,CNT-21859034,SouthWest,#67 Stone,"Dodson, Perkins and Stokes",Daniel,34.98
107,CNT-76054518,SouthWest,Rip Rap,Martinez-Watson,Steve,42.99
108,CNT-34779366,NorthEast,#57 Stone,Collins-Walters,Parker,46.81
109,CNT-79570710,Central,Mason Sand,"Jones, Gonzalez and Yates",Parker,36.37
110,CNT-76457410,Central,#67 Stone,Gomez-Jarvis,Steve,33.82
111,CNT-01316787,NorthEast,Railroad Ballast,Tran-Miller,Shiva,27.1
112,CNT-24969640,West,Railroad Ballast,Mitchell Inc,Rijo,41.16
113,CNT-89163613,West,Railroad Ballast,Meyers-Ballard,Abi,40.58
114,CNT-87838837,East,ABC Stone,"Evans, Davis and Diaz",Shiva,47.71
115,CNT-66902141,SouthWest,Surge Stone,"Griffin, Martin and Hoffman",Shiva,37.92
116,CNT-35121613,SouthWest,#57 Stone,"Wood, Clark and Payne",Shiva,40.62
117,CNT-38411036,SouthWest,Pea Gravel,Mcdaniel-Campos,Arthur,30.81
118,CNT-36864393,Central,#4 Stone,Taylor and Sons,Heath,17.93
119,CNT-25075589,East,#57 Stone,Mays-Rose,Steve,15.45
120,CNT-31191546,East,Pea Gravel,Armstrong-Arnold,Madhu,29.77
121,CNT-32489844,SouthWest,ABC Stone,Turner Inc,Rijo,15.38
122,CNT-40235770,Central,Railroad Ballast,"Summers, Dunn and Gray",Steve,18.32
123,CNT-65002650,SouthWest,Mason Sand,"Lucas, Burns and Hall",Niket,36.81
124,CNT-71112251,SouthWest,Concrete Sand,Brown Group,Niket,15.51
125,CNT-74920885,East,Screenings,Shannon LLC,Heath,35.64
126,CNT-62664576,NorthEast,Concrete Sand,Hobbs-Johnson,Shiva,38.05
127,CNT-97236706,East,Concrete Sand,Hernandez LLC,Connor,34.23
128,CNT-78476531,SouthWest,Surge Stone,"Burns, Mosley and Parrish",Shiva,21.01
129,CNT-49918138,SouthWest,Surge Stone,Thornton Group,Rijo,25.35
130,CNT-70493196,NorthEast,Railroad Ballast,"Anderson, Jackson and Tucker",Arthur,24.87
131,CNT-93823212,SouthWest,Pea Gravel,Waters-Wright,Shiva,47.26
132,CNT-38709697,SouthWest,Railroad Ballast,Kelly-Davila,Rijo,47.41
133,CNT-60837441,West,Rip Rap,Perez-Baker,Rijo,22.53
134,CNT-05292118,NorthEast,Surge Stone,Wood Inc,Steve,26.44
135,CNT-07516489,Central,#67 Stone,Trevino-Morales,Steve,26.24
136,CNT-44925989,East,ABC Stone,"Rivas, Collins and Vazquez",Steve,39.32
137,CNT-50766041,East,Surge Stone,Vega-Donovan,Shiva,10.1
138,CNT-94650693,NorthEast,Railroad Ballast,"Washington, Morris and Crawford",Shiva,33.23
139,CNT-30930885,West,Rip Rap,Braun-Davis,Arthur,21.1
140,CNT-81839781,West,#67 Stone,"Pratt, Palmer and Martinez",Vashon,40.99
141,CNT-08472857,Central,#67 Stone,Moore Inc,Arthur,45.53
142,CNT-73849065,SouthWest,Pea Gravel,Torres-Rivera,Daniel,28.49
143,CNT-76246190,West,#57 Stone,Jones and Sons,Daniel,23.97
144,CNT-47767000,SouthWest,#67 Stone,Hood-Ramsey,Parker,28.96
145,CNT-72747095,Central,ABC Stone,Hancock PLC,Niket,38.31
146,CNT-54844116,NorthEast,Railroad Ballast,Garza Inc,Heath,26.43
147,CNT-91153579,NorthEast,Railroad Ballast,"King, Smith and Short",Connor,19.99
148,CNT-59473334,East,Surge Stone,"Guzman, West and Owens",Daniel,29.7
149,CNT-69819918,SouthWest,#57 Stone,"Rowe, Hill and Williams",Steve,26.83
150,CNT-07655678,West,#57 Stone,Taylor Ltd,Madhu,33.31
151,CNT-31093687,SouthWest,Screenings,Larsen-Rice,Daniel,22.55
152,CNT-47607833,SouthWest,#4 Stone,Franco Group,Steve,29.59
153,CNT-03229646,West,#67 Stone,Ochoa-Yates,Rijo,41.62
154,CNT-82013836,NorthEast,#57 Stone,"Lamb, Black and Cooper",Shiva,17.87
155,CNT-67750872,SouthWest,#67 Stone,Carpenter-Coleman,Madhu,11.58
156,CNT-71189797,Central,Mason Sand,Thompson LLC,Madhu,15.24
157,CNT-10101994,SouthWest,Railroad Ballast,"Lee, Hanson and Zuniga",Abi,24.53
158,CNT-30552064,East,#4 Stone,"Knox, Cooley and Hicks",Madhu,20.35
159,CNT-33412469,NorthEast,ABC Stone,Tran and Sons,Arthur,45.84
160,CNT-28754409,NorthEast,ABC Stone,Morgan PLC,Daniel,18.4
161,CNT-15194507,West,Concrete Sand,Daniels-Smith,Daniel,41.48
162,CNT-85953376,SouthWest,Rip Rap,"Anderson, Jones and Walker",Shiva,42.14
163,CNT-47852180,Central,#67 Stone,"Ward, Davis and Oconnor",Madhu,38.35
164,CNT-27510600,SouthWest,Railroad Ballast,Sanchez and Sons,Vashon,13.24
165,CNT-48500840,NorthEast,#67 Stone,Kim PLC,Parker,25.67
166,CNT-46810780,Central,#57 Stone,Carr-Aguilar,Connor,13.91
167,CNT-61833103,East,Mason Sand,Kelley-Cruz,Connor,34.31
168,CNT-27435534,West,ABC Stone,Gonzalez-White,Rijo,38.41
169,CNT-45673696,East,Rip Rap,"Jones, Donovan and Trevino",Shiva,42.24
170,CNT-90634531,East,Pea Gravel,Bird-Lopez,Connor,20.13
171,CNT-26782800,West,Concrete Sand,Serrano-Briggs,Vashon,38.52
172,CNT-97353275,Central,Concrete Sand,Jones LLC,Niket,10.58
173,CNT-06192605,Central,#57 Stone,"Reyes, Montoya and Lopez",Rijo,31.57
174,CNT-50014275,NorthEast,Surge Stone,Johnson-Hansen,Steve,16.56
175,CNT-55604270,West,#57 Stone,Anderson-Clark,Connor,20.4
176,CNT-98781037,West,Railroad Ballast,Holmes-Lee,Steve,16.93
177,CNT-05241156,NorthEast,#4 Stone,Short-Gonzalez,Daniel,19.05
178,CNT-38728079,East,#67 Stone,Smith LLC,Connor,25.2
179,CNT-19324071,Central,#4 Stone,Whitaker-Green,Abi,33.88
180,CNT-67715503,West,Surge Stone,Moreno PLC,Connor,43.18
181,CNT-46778800,West,ABC Stone,Alvarado-Blake,Niket,21.89
182,CNT-06383660,SouthWest,Surge Stone,Johnson-Walker,Heath,27.21
183,CNT-70981236,SouthWest,Screenings,"Hill, Cervantes and Lopez",Connor,33.95
184,CNT-60067275,East,Surge Stone,Cervantes Ltd,Arthur,33.96
185,CNT-65838514,NorthEast,Railroad Ballast,Strong-Wiley,Arthur,18.86
186,CNT-80862735,Central,Mason Sand,Nelson-Morton,Shiva,28.67
187,CNT-39199492,Central,Railroad Ballast,Barnett-Murray,Parker,18.69
188,CNT-69402239,West,Railroad Ballast,Lopez-Bell,Parker,49.59
189,CNT-82810670,East,Railroad Ballast,Johnson-Cummings,Daniel,35.8
190,CNT-81286226,West,#4 Stone,"Jones, Smith and Aguilar",Madhu,43.72
191,CNT-60665648,East,Mason Sand,Carpenter Group,Parker,47.93
192,CNT-34814097,West,Screenings,Ramirez-Williams,Steve,33.58
193,CNT-60346204,West,Pea Gravel,Miller-Medina,Parker,14.5
194,CNT-21825525,NorthEast,Mason Sand,Coleman-Alvarado,Shiva,43.8
195,CNT-87877497,West,Screenings,"Johnson, Williams and Compton",Parker,32.94
196,CNT-59789656,West,Pea Gravel,"Mcmahon, Strickland and Coleman",Parker,12.14
197,CNT-39648071,West,#4 Stone,Moon-Brown,Heath,43.04
198,CNT-59577760,SouthWest,Surge Stone,Harris Inc,Parker,38.55
199,CNT-98551779,Central,Concrete Sand,Yoder PLC,Connor,16.7
200,CNT-45477554,West,#57 Stone,Calhoun and Sons,Vashon,10.43
201,CNT-17303157,East,Rip Rap,Gibson Group,Rijo,43.32
202,CNT-35384210,SouthWest,Mason Sand,Campos-West,Madhu,19.49
203,CNT-83035058,SouthWest,#57 Stone,"Whitehead, Andrade and Novak",Parker,10.07
204,CNT-20118982,West,ABC Stone,Dawson PLC,Heath,18.61
205,CNT-30946888,Central,Screenings,Richards-Hughes,Rijo,20.2
206,CNT-30874444,East,Surge Stone,Cantrell-Miller,Abi,39.51
207,CNT-52149213,SouthWest,Surge Stone,Rodriguez-Lee,Steve,16.13
208,CNT-27386073,West,Railroad Ballast,Odonnell Ltd,Madhu,31.88
209,CNT-89426204,NorthEast,#67 Stone,Lee-Charles,Abi,15.2
210,CNT-05437168,Central,Mason Sand,Williams and Sons,Abi,32.8
211,CNT-37478395,Central,#4 Stone,"Henry, Harris and Taylor",Madhu,35.09
212,CNT-75451652,NorthEast,Screenings,Tyler Inc,Abi,41.34
213,CNT-45877227,SouthWest,Mason Sand,Curtis-Lopez,Rijo,22.6
214,CNT-35261966,NorthEast,ABC Stone,"Tran, Jackson and Ramsey",Connor,25.65
215,CNT-58684143,NorthEast,ABC Stone,Hammond-Deleon,Shiva,29.01
216,CNT-29064410,East,#4 Stone,"Ryan, Baird and Christensen",Parker,44.79
217,CNT-48951706,NorthEast,Mason Sand,Simpson LLC,Connor,23.09
218,CNT-76456184,Central,Concrete Sand,Roberts-Prince,Vashon,38.72
219,CNT-43211609,East,ABC Stone,"Jennings, Hays and King",Heath,36.33
220,CNT-27638753,East,#67 Stone,"Mooney, Reed and Andrews",Shiva,40.73
221,CNT-51654426,West,Screenings,Cook Ltd,Abi,34.78
222,CNT-88429523,SouthWest,Concrete Sand,Hayes-Martin,Arthur,19.52
223,CNT-07930962,East,Surge Stone,Davis-Hickman,Arthur,12.34
224,CNT-34548212,SouthWest,Railroad Ballast,Davila and Sons,Abi,32.09
225,CNT-19989238,Central,Surge Stone,"Brown, Jacobs and Perez",Shiva,12.72
226,CNT-91584406,West,Pea Gravel,Davies-Mendoza,Heath,17.3
227,CNT-97934228,East,Pea Gravel,"Hubbard, Brown and Day",Connor,31.45
228,CNT-10492392,West,Screenings,Smith LLC,Vashon,14.09
229,CNT-50493187,NorthEast,Screenings,Johnson and Sons,Parker,31.63
230,CNT-24765853,SouthWest,Mason Sand,Howard PLC,Shiva,43.37
231,CNT-41915477,SouthWest,Screenings,Cole-Torres,Daniel,19.98
232,CNT-01175586,SouthWest,#4 Stone,Clark-Garcia,Niket,42.13
233,CNT-96717478,West,Rip Rap,Howe-Chen,Abi,33.24
234,CNT-60201104,West,Screenings,Robertson Group,Steve,39.52
235,CNT-40518591,Central,Screenings,Romero and Sons,Steve,38.34
236,CNT-08704365,SouthWest,#4 Stone,Boyer Ltd,Shiva,15.96
237,CNT-15302839,East,#57 Stone,Nguyen and Sons,Heath,27.36
238,CNT-58857934,NorthEast,ABC Stone,"Nelson, Gallegos and Smith",Parker,14.39
239,CNT-29364199,Central,#4 Stone,Morgan LLC,Niket,26.91
240,CNT-46618744,East,#4 Stone,Rodriguez-Bass,Heath,28.95
241,CNT-38828041,SouthWest,#4 Stone,Jones-Phillips,Niket,29.04
242,CNT-30043215,East,ABC Stone,Flowers-Thompson,Heath,47.38
243,CNT-51522694,NorthEast,Railroad Ballast,Turner Ltd,Rijo,35.7
244,CNT-01343044,SouthWest,ABC Stone,Wilson-Bray,Rijo,29.91
245,CNT-14481724,NorthEast,Surge Stone,Miller Ltd,Rijo,44.02
246,CNT-34183434,Central,Surge Stone,Roy-Adams,Connor,38.93
247,CNT-31722564,West,Concrete Sand,Johnson Ltd,Arthur,19.57
248,CNT-02730566,West,Surge Stone,Davis PLC,Arthur,38.68
249,CNT-82068527,West,Mason Sand,"Garner, Williams and Hatfield",Parker,27.72
250,CNT-67315208,East,#4 Stone,"Walters, Ramos and Gutierrez",Arthur,13.91
251,CNT-39943041,West,Rip Rap,"Love, Smith and Bonilla",Daniel,15.64
252,CNT-23848167,West,Rip Rap,Anderson Inc,Rijo,24.0
253,CNT-57568073,West,Surge Stone,Ingram-Garcia,Arthur,15.36
254,CNT-08706836,West,#4 Stone,"Baldwin, Green and York",Connor,22.57
255,CNT-76232057,SouthWest,Mason Sand,Hernandez LLC,Arthur,20.25
256,CNT-30789081,SouthWest,Screenings,"Evans, Williams and Young",Vashon,40.18
257,CNT-53940326,East,Surge Stone,House-Robertson,Heath,38.84
258,CNT-74054445,NorthEast,Screenings,Mills-Walls,Connor,47.33
259,CNT-73292923,East,#57 Stone,Hernandez-Martin,Vashon,38.85
260,CNT-12288279,Central,Pea Gravel,Morgan and Sons,Abi,36.78
261,CNT-75279654,SouthWest,Mason Sand,Wu Inc,Vashon,36.45
262,CNT-15483078,SouthWest,#57 Stone,Johnson Group,Steve,29.91
263,CNT-74245358,NorthEast,Rip Rap,"Shah, Pena and Lee",Heath,35.41
264,CNT-85898094,West,ABC Stone,Wilson-Johnson,Heath,37.68
265,CNT-36281557,NorthEast,#67 Stone,Munoz Group,Rijo,23.11
266,CNT-39843938,West,#67 Stone,Bean Ltd,Vashon,45.14
267,CNT-46903516,East,#57 Stone,Martinez PLC,Heath,13.98
268,CNT-47522656,West,Mason Sand,Scott Inc,Madhu,16.76
269,CNT-36892300,Central,Screenings,"Nguyen, Hernandez and Brooks",Shiva,10.94
270,CNT-50408668,West,Concrete Sand,Perez Inc,Niket,13.41
271,CNT-82715275,East,#57 Stone,Miles LLC,Madhu,45.43
272,CNT-31283600,SouthWest,#67 Stone,Burke-Macdonald,Arthur,13.6
273,CNT-84954769,NorthEast,#57 Stone,Howard-Booker,Daniel,16.05
274,CNT-12870336,NorthEast,Surge Stone,"Larson, Floyd and Fisher",Rijo,24.78
275,CNT-50015290,East,Concrete Sand,"Vasquez, Potter and Gonzalez",Steve,27.89
276,CNT-99955555,East,Rip Rap,Bailey-Bush,Rijo,16.81
277,CNT-04342360,East,Rip Rap,Clements-Barnett,Parker,39.9
278,CNT-39423459,East,#57 Stone,Meyer-Donovan,Madhu,42.92
279,CNT-33558019,NorthEast,Concrete Sand,"Farrell, Mcclain and Carter",Rijo,32.64
280,CNT-80913110,East,ABC Stone,Patel Group,Daniel,47.19
281,CNT-91598335,East,#4 Stone,White-Russell,Vashon,21.03
282,CNT-91167276,West,#4 Stone,"Brown, Jimenez and Palmer",Parker,12.71
283,CNT-61788156,Central,Pea Gravel,"Saunders, King and Morrison",Steve,22.48
284,CNT-24879654,West,ABC Stone,Pope PLC,Abi,22.47
285,CNT-89428484,SouthWest,Screenings,Alexander and Sons,Rijo,25.17
286,CNT-25753844,Central,Mason Sand,Olson-George,Vashon,21.63
287,CNT-18614314,Central,Railroad Ballast,Mason-Davenport,Steve,27.68
288,CNT-53612701,SouthWest,Railroad Ballast,"Hamilton, Greene and Gilbert",Connor,21.12
289,CNT-67595341,East,#67 Stone,Glass-Lopez,Madhu,41.3
290,CNT-78771860,West,#4 Stone,Brooks Group,Parker,42.99
291,CNT-50984883,Central,#57 Stone,"Parsons, Hernandez and Mann",Rijo,25.99
292,CNT-76684530,NorthEast,#4 Stone,Cole and Sons,Madhu,10.64
293,CNT-21733789,West,Pea Gravel,Mclean and Sons,Steve,22.06
294,CNT-88742293,West,Pea Gravel,Young Inc,Daniel,31.09
295,CNT-16289295,East,ABC Stone,Harrington Ltd,Connor,35.19
296,CNT-62767579,East,ABC Stone,Harrison-Williams,Heath,36.82
297,CNT-39009791,SouthWest,Screenings,"Byrd, Bailey and Soto",Daniel,30.74
298,CNT-06871657,SouthWest,Rip Rap,Perry Inc,Steve,19.96
299,CNT-27637097,NorthEast,Rip Rap,Reeves LLC,Abi,22.06
300,CNT-12735687,NorthEast,Railroad Ballast,"Rogers, Underwood and Bentley",Madhu,19.88
301,CNT-73111920,NorthEast,Screenings,Gomez-Harris,Heath,14.29
302,CNT-50167512,NorthEast,#67 Stone,Rhodes-Harvey,Daniel,23.91
303,CNT-70259754,Central,Mason Sand,Gilbert-Hahn,Daniel,11.59
304,CNT-69761359,SouthWest,#4 Stone,Graham-Curtis,Steve,24.21
305,CNT-27543732,Central,Mason Sand,Baldwin-Foster,Abi,23.58
306,CNT-19682201,SouthWest,ABC Stone,Russell Inc,Daniel,31.96
307,CNT-98080207,West,#67 Stone,"Bartlett, Rodriguez and Lang",Rijo,20.61
308,CNT-23429561,SouthWest,#67 Stone,Phillips-Moreno,Connor,24.26
309,CNT-83318681,West,Surge Stone,Becker PLC,Steve,33.49
310,CNT-16692374,West,Surge Stone,Kim Inc,Niket,22.83
311,CNT-55787812,West,#57 Stone,Harris-Morris,Steve,28.09
312,CNT-08999407,West,Screenings,Johnson-Bullock,Rijo,24.71
313,CNT-21649782,West,Mason Sand,Smith and Sons,Heath,13.77
314,CNT-19898479,Central,#67 Stone,Willis and Sons,Arthur,40.34
315,CNT-66936991,SouthWest,ABC Stone,Allen Inc,Abi,31.24
316,CNT-15573211,SouthWest,#57 Stone,Valdez-Cruz,Abi,25.75
317,CNT-73336519,East,Mason Sand,"Brown, Smith and Williams",Rijo,47.46
318,CNT-98837661,West,Rip Rap,King PLC,Shiva,49.29
319,CNT-66121980,West,Concrete Sand,"Brown, Wallace and Pollard",Rijo,27.26
320,CNT-37330555,NorthEast,ABC Stone,"Taylor, Jenkins and Mendoza",Parker,45.7
321,CNT-19594798,SouthWest,Surge Stone,"Frye, Stevens and Hudson",Rijo,38.99
322,CNT-17661154,Central,Pea Gravel,Barnett Ltd,Rijo,22.64
323,CNT-34170130,NorthEast,Surge Stone,Willis PLC,Madhu,17.47
324,CNT-01915687,SouthWest,Pea Gravel,"Kent, Dillon and Clark",Arthur,11.79
325,CNT-20030885,East,Screenings,Price-Wood,Steve,17.19
326,CNT-28617673,Central,Pea Gravel,Knight PLC,Parker,22.49
327,CNT-67101229,East,#67 Stone,"Chavez, Gonzales and Woods",Abi,21.8
328,CNT-47630165,NorthEast,Concrete Sand,"Stevens, Johnson and Hess",Rijo,14.8
329,CNT-55685464,West,Surge Stone,Phillips Inc,Parker,26.69
330,CNT-61155032,NorthEast,Mason Sand,Perkins PLC,Heath,22.27
331,CNT-20710773,Central,Surge Stone,Brooks-Smith,Rijo,16.91
332,CNT-25622324,Central,#67 Stone,Jackson and Sons,Abi,11.26
333,CNT-73361535,SouthWest,ABC Stone,Green PLC,Vashon,33.81
334,CNT-97123267,Central,Mason Sand,Lawson-Thornton,Niket,29.01
335,CNT-46694301,Central,ABC Stone,Parker-Smith,Madhu,39.94
336,CNT-73261180,SouthWest,Rip Rap,Potter-Gill,Abi,34.06
337,CNT-90932918,East,Screenings,"Olson, Proctor and Wagner",Steve,33.62
338,CNT-12653861,West,ABC Stone,"King, Thomas and Mcdonald",Niket,17.9
339,CNT-68202652,SouthWest,Pea Gravel,Ho and Sons,Niket,38.68
340,CNT-18867883,NorthEast,Rip Rap,Bryant LLC,Shiva,16.78
341,CNT-84108706,NorthEast,Rip Rap,Stewart Inc,Daniel,14.57
342,CNT-57291372,East,Railroad Ballast,"Moreno, Gordon and Howard",Niket,13.32
343,CNT-61762294,East,ABC Stone,Brown Group,Shiva,15.5
344,CNT-24158167,Central,Rip Rap,Yates Inc,Vashon,21.87
345,CNT-94779561,West,Surge Stone,"Brooks, Rivera and Phillips",Niket,11.0
346,CNT-32879105,Central,Mason Sand,Nelson-Edwards,Arthur,42.7
347,CNT-10573230,East,#4 Stone,Lewis Ltd,Arthur,35.91
348,CNT-87081934,SouthWest,Concrete Sand,Oconnor-Daniel,Abi,33.41
349,CNT-87226364,Central,#67 Stone,"Parks, Robles and Johnson",Rijo,35.75
350,CNT-54484743,West,Surge Stone,Glenn Inc,Vashon,29.12
